epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.666,1.52043,1.21799,1.22872,0.83411,0.54403,0.62515,0.36953,1.58191,1.17856,1.32871,0.0700716,0.00332538,0.00332538
2,477.09,1.46055,1.04009,1.20947,0.86893,0.65133,0.73531,0.44283,1.41507,0.89655,1.20208,0.040031,0.00661813,0.00661813
3,700.621,1.4047,0.96599,1.1812,0.86823,0.64553,0.72653,0.44264,1.41716,0.9049,1.19072,0.00982952,0.00974997,0.00974997
4,921.078,1.36822,0.92217,1.16487,0.87015,0.67783,0.76354,0.47509,1.341,0.87484,1.17618,0.00946048,0.00946048,0.00946048
5,1133.68,1.33255,0.8685,1.14431,0.87393,0.70941,0.7875,0.49207,1.28516,0.79581,1.13427,0.00905463,0.00905463,0.00905463
6,1348.04,1.30395,0.82955,1.13402,0.89035,0.70686,0.79275,0.50224,1.28024,0.74098,1.12811,0.00855018,0.00855018,0.00855018
7,1568.05,1.28114,0.80701,1.11565,0.87807,0.7089,0.78887,0.50237,1.26286,0.77742,1.11536,0.00795954,0.00795954,0.00795954
8,1783.09,1.28146,0.78798,1.11246,0.88896,0.71638,0.80278,0.51729,1.24624,0.68587,1.10139,0.00729725,0.00729725,0.00729725
9,1999.15,1.25945,0.76309,1.10385,0.88402,0.73636,0.8177,0.52156,1.24389,0.67436,1.10482,0.00657963,0.00657963,0.00657963
10,2214.14,1.24108,0.73846,1.0969,0.88104,0.74498,0.82211,0.52718,1.22562,0.66055,1.08933,0.00582435,0.00582435,0.00582435
11,2430.35,1.22074,0.72276,1.08866,0.88489,0.75561,0.8305,0.5368,1.21048,0.63299,1.07713,0.00505,0.00505,0.00505
12,2642.8,1.21473,0.70454,1.08151,0.88607,0.76047,0.83413,0.53982,1.20471,0.62489,1.07668,0.00427565,0.00427565,0.00427565
13,2858,1.20058,0.68336,1.07429,0.89012,0.75121,0.82912,0.53742,1.20933,0.62385,1.07612,0.00352037,0.00352037,0.00352037
14,3072.34,1.17929,0.67318,1.06311,0.89631,0.7621,0.84013,0.54841,1.19053,0.59121,1.0638,0.00280275,0.00280275,0.00280275
15,3286.69,1.17227,0.65052,1.06,0.89751,0.77376,0.84813,0.55551,1.17145,0.58394,1.05796,0.00214046,0.00214046,0.00214046
16,3493.49,1.15593,0.61074,1.0485,0.89143,0.77629,0.84828,0.55737,1.17149,0.57343,1.05788,0.00154982,0.00154982,0.00154982
17,3692.85,1.1435,0.58973,1.04613,0.8982,0.77571,0.85088,0.56123,1.16392,0.56272,1.05099,0.00104537,0.00104537,0.00104537
18,3894.16,1.13334,0.57793,1.04081,0.90073,0.77438,0.85225,0.56191,1.16499,0.55551,1.05018,0.000639518,0.000639518,0.000639518
19,4094.63,1.1262,0.56549,1.0336,0.89782,0.77891,0.85399,0.56576,1.15267,0.54691,1.04677,0.00034227,0.00034227,0.00034227
20,4295.09,1.12112,0.5641,1.03181,0.90232,0.77988,0.85522,0.56625,1.15419,0.54599,1.04589,0.000160943,0.000160943,0.000160943
