epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.651,1.88867,1.83128,1.61855,0.13662,0.12796,0.05017,0.0156,nan,nan,nan,0.070099,0.00332233,0.00332233
2,455.793,1.98418,1.99589,1.69867,0.22616,0.20134,0.15336,0.06961,2.26099,nan,1.86771,0.0400584,0.0066151,0.0066151
3,681.088,1.88865,1.8183,1.61709,0.32032,0.20565,0.19166,0.09163,2.24053,3.1806,1.80645,0.00985701,0.009747,0.009747
4,908.4,1.8252,1.71491,1.57467,0.37045,0.29532,0.26889,0.13403,2.12212,nan,1.68332,0.00946048,0.00946048,0.00946048
5,1130.65,1.77293,1.62387,1.5354,0.49547,0.24892,0.26395,0.13506,2.08823,nan,1.67198,0.00905463,0.00905463,0.00905463
6,1354.21,1.70492,1.53121,1.49268,0.35146,0.33065,0.28909,0.14983,1.97883,1.88233,1.60648,0.00855018,0.00855018,0.00855018
7,1584.2,1.67776,1.50066,1.47067,0.4574,0.29597,0.30574,0.15902,1.98066,nan,1.58102,0.00795954,0.00795954,0.00795954
8,1817.09,1.63711,1.41705,1.44785,0.42029,0.34194,0.3367,0.17259,nan,nan,nan,0.00729725,0.00729725,0.00729725
9,2053.81,1.6008,1.37671,1.42594,0.48697,0.34727,0.35271,0.18788,1.92423,1.59007,1.52959,0.00657963,0.00657963,0.00657963
10,2289.64,1.57292,1.33607,1.41619,0.49584,0.30161,0.3327,0.16906,1.99552,nan,1.58836,0.00582435,0.00582435,0.00582435
11,2525.02,1.54552,1.28991,1.38739,0.48988,0.36183,0.36776,0.20451,1.86586,1.50862,1.48298,0.00505,0.00505,0.00505
12,2769.5,1.51002,1.25104,1.37779,0.49598,0.37285,0.3784,0.20339,1.85008,1.44397,1.50224,0.00427565,0.00427565,0.00427565
13,3002.22,1.4653,1.20622,1.35312,0.51381,0.37419,0.39035,0.21352,1.81267,1.4256,1.46403,0.00352037,0.00352037,0.00352037
14,3239.44,1.42856,1.17179,1.32777,0.49442,0.38038,0.38894,0.21928,1.81165,1.40549,1.46638,0.00280275,0.00280275,0.00280275
15,3481.47,1.41668,1.13701,1.31544,0.49446,0.39919,0.40105,0.23445,1.72803,1.33722,1.3974,0.00214046,0.00214046,0.00214046
16,3717.29,1.35609,1.03212,1.2779,0.5181,0.39769,0.4084,0.23722,1.75099,nan,1.41824,0.00154982,0.00154982,0.00154982
17,3956.65,1.319,0.99765,1.26303,0.53642,0.39435,0.41436,0.24403,1.72784,nan,1.40631,0.00104537,0.00104537,0.00104537
18,4193.88,1.30054,0.96449,1.25275,0.5213,0.40833,0.42116,0.24927,nan,nan,nan,0.000639518,0.000639518,0.000639518
19,4430.98,1.27826,0.9467,1.24256,0.5248,0.41156,0.42159,0.24861,nan,nan,nan,0.00034227,0.00034227,0.00034227
20,4659.67,1.27362,0.93852,1.23373,0.54204,0.41263,0.42879,0.25311,1.67536,nan,1.38861,0.000160943,0.000160943,0.000160943
